ToolName,EntryType,Score
acts,Size,315
cagen,Size,319
caopt,Size,444
kali,Size,193
medici,Size,338
pmedici,Size,162
acts,Time,411
cagen,Time,502
caopt,Time,205
kali,Time,254
medici,Time,222
pmedici,Time,282
acts,Overall,363.0
cagen,Overall,410.5
caopt,Overall,324.5
kali,Overall,223.5
medici,Overall,280.0
pmedici,Overall,222.0
