ToolName,EntryType,Score
acts,Size,48
cagen,Size,48
caopt,Size,52
kali,Size,7
medici,Size,49
pmedici,Size,28
acts,Time,54
cagen,Time,79
caopt,Time,43
kali,Time,6
medici,Time,45
pmedici,Time,31
acts,Overall,51.0
cagen,Overall,63.5
caopt,Overall,47.5
kali,Overall,6.5
medici,Overall,47.0
pmedici,Overall,29.5
