ToolName,EntryType,Score
acts,Size,53
cagen,Size,49
caopt,Size,60
kali,Size,3
medici,Size,56
pmedici,Size,38
acts,Time,73
cagen,Time,89
caopt,Time,49
kali,Time,2
medici,Time,40
pmedici,Time,47
acts,Overall,63.0
cagen,Overall,69.0
caopt,Overall,54.5
kali,Overall,2.5
medici,Overall,48.0
pmedici,Overall,42.5
