ToolName,EntryType,Score
acts,Size,66
cagen,Size,71
caopt,Size,49
kali,Size,0
medici,Size,0
acts,Time,64
cagen,Time,78
caopt,Time,49
kali,Time,0
medici,Time,0
acts,Overall,65.0
cagen,Overall,74.5
caopt,Overall,49.0
kali,Overall,0.0
medici,Overall,0.0
