ToolName,EntryType,Score
acts,Size,3097
cagen,Size,3399
caopt,Size,2497
kali,Size,500
medici,Size,2401
pmedici,Size,1448
acts,Time,3571
cagen,Time,4700
caopt,Time,1893
kali,Time,664
medici,Time,1801
pmedici,Time,1941
acts,Overall,3056.5
cagen,Overall,3666.0
caopt,Overall,2104.0
kali,Overall,537.0
medici,Overall,1997.0
pmedici,Overall,1560.5
