ToolName,Strength,N_Invalid
caopt,5,2
caopt,6,2
kali,2,151
kali,3,145
kali,4,98
kali,5,63
kali,6,54
medici,2,24
medici,3,23
medici,4,22
medici,5,21
medici,6,21
pmedici,2,12
pmedici,3,8
