ToolName,EntryType,Score
acts,Size,285
cagen,Size,321
caopt,Size,207
kali,Size,5
medici,Size,211
pmedici,Size,132
acts,Time,332
cagen,Time,457
caopt,Time,218
kali,Time,6
medici,Time,208
pmedici,Time,138
acts,Overall,308.5
cagen,Overall,389.0
caopt,Overall,212.5
kali,Overall,5.5
medici,Overall,209.5
pmedici,Overall,135.0
