ToolName,EntryType,Score
acts,Size,27
cagen,Size,31
caopt,Size,13
kali,Size,6
medici,Size,6
pmedici,Size,6
acts,Time,27
cagen,Time,39
caopt,Time,4
kali,Time,8
medici,Time,3
pmedici,Time,8
acts,Overall,27.0
cagen,Overall,35.0
caopt,Overall,8.5
kali,Overall,7.0
medici,Overall,4.5
pmedici,Overall,7.0
