ToolName,EntryType,Score
acts,Size,58
cagen,Size,82
caopt,Size,2
kali,Size,9
medici,Size,0
pmedici,Size,10
acts,Time,54
cagen,Time,87
caopt,Time,2
kali,Time,12
medici,Time,0
pmedici,Time,7
acts,Overall,56.0
cagen,Overall,84.5
caopt,Overall,2.0
kali,Overall,10.5
medici,Overall,0.0
pmedici,Overall,8.5
