ToolName,EntryType,Score
acts,Size,74
cagen,Size,89
caopt,Size,18
kali,Size,0
medici,Size,19
pmedici,Size,13
acts,Time,74
cagen,Time,104
caopt,Time,14
kali,Time,0
medici,Time,10
pmedici,Time,14
acts,Overall,74.0
cagen,Overall,96.5
caopt,Overall,16.0
kali,Overall,0.0
medici,Overall,14.5
pmedici,Overall,13.5
