ToolName,Strength,Category,N_Valid
acts,6,MCA_,14
cagen,6,MCA_,20
acts,6,NUMC_,10
cagen,6,NUMC_,12
acts,6,BOOLC_,30
cagen,6,BOOLC_,30
caopt,6,BOOLC_,16
medici,6,BOOLC_,25
pmedici,6,BOOLC_,27
acts,6,UNIFORM_BOOLEAN_,15
cagen,6,UNIFORM_BOOLEAN_,15
caopt,6,UNIFORM_BOOLEAN_,15
kali,6,UNIFORM_BOOLEAN_,11
medici,6,UNIFORM_BOOLEAN_,4
pmedici,6,UNIFORM_BOOLEAN_,11
acts,6,UNIFORM_ALL_,6
cagen,6,UNIFORM_ALL_,10
caopt,6,UNIFORM_ALL_,2
kali,6,UNIFORM_ALL_,1
medici,6,UNIFORM_ALL_,1
pmedici,6,UNIFORM_ALL_,1
acts,6,INDUSTRIAL_,8
cagen,6,INDUSTRIAL_,10
caopt,6,INDUSTRIAL_,6
medici,6,INDUSTRIAL_,6
pmedici,6,INDUSTRIAL_,7
acts,6,HIGHLY_CONSTRAINED_,9
cagen,6,HIGHLY_CONSTRAINED_,13
caopt,6,HIGHLY_CONSTRAINED_,4
medici,6,HIGHLY_CONSTRAINED_,4
pmedici,6,HIGHLY_CONSTRAINED_,4
acts,6,FM_,12
cagen,6,FM_,14
caopt,6,FM_,14
medici,6,FM_,8
pmedici,6,FM_,9
acts,6,CNF_,7
cagen,6,CNF_,11
caopt,6,CNF_,2
medici,6,CNF_,2
pmedici,6,CNF_,1
acts,4,MCAC_,17
cagen,4,MCAC_,17
caopt,4,MCAC_,7
medici,4,MCAC_,5
pmedici,4,MCAC_,3
acts,4,MCA_,30
cagen,4,MCA_,30
caopt,4,MCA_,7
kali,4,MCA_,6
medici,4,MCA_,1
pmedici,4,MCA_,6
acts,4,NUMC_,20
cagen,4,NUMC_,20
caopt,4,NUMC_,4
acts,4,BOOLC_,30
cagen,4,BOOLC_,30
caopt,4,BOOLC_,30
kali,4,BOOLC_,1
medici,4,BOOLC_,30
pmedici,4,BOOLC_,29
acts,4,UNIFORM_BOOLEAN_,15
cagen,4,UNIFORM_BOOLEAN_,15
caopt,4,UNIFORM_BOOLEAN_,15
kali,4,UNIFORM_BOOLEAN_,15
medici,4,UNIFORM_BOOLEAN_,15
pmedici,4,UNIFORM_BOOLEAN_,15
acts,4,UNIFORM_ALL_,13
cagen,4,UNIFORM_ALL_,15
caopt,4,UNIFORM_ALL_,7
kali,4,UNIFORM_ALL_,7
medici,4,UNIFORM_ALL_,2
