ToolName,EntryType,Score
acts,Size,249
cagen,Size,246
caopt,Size,184
kali,Size,9
medici,Size,189
pmedici,Size,85
acts,Time,277
cagen,Time,327
caopt,Time,160
kali,Time,10
medici,Time,168
pmedici,Time,115
acts,Overall,263.0
cagen,Overall,286.5
caopt,Overall,172.0
kali,Overall,9.5
medici,Overall,178.5
pmedici,Overall,100.0
