ToolName,EntryType,Score
acts,Size,67
cagen,Size,67
caopt,Size,83
kali,Size,30
medici,Size,84
pmedici,Size,45
acts,Time,89
cagen,Time,105
caopt,Time,49
kali,Time,49
medici,Time,44
pmedici,Time,69
acts,Overall,78.0
cagen,Overall,86.0
caopt,Overall,66.0
kali,Overall,39.5
medici,Overall,64.0
pmedici,Overall,57.0
