ToolName,EntryType,Score
acts,Size,52
cagen,Size,57
caopt,Size,62
kali,Size,7
medici,Size,62
pmedici,Size,33
acts,Time,52
cagen,Time,91
caopt,Time,67
kali,Time,6
medici,Time,65
pmedici,Time,33
acts,Overall,52.0
cagen,Overall,74.0
caopt,Overall,64.5
kali,Overall,6.5
medici,Overall,63.5
pmedici,Overall,33.0
