ToolName,EntryType,Score
acts,Size,81
cagen,Size,102
caopt,Size,20
kali,Size,17
medici,Size,7
pmedici,Size,19
acts,Time,80
cagen,Time,110
caopt,Time,14
kali,Time,24
medici,Time,3
pmedici,Time,20
acts,Overall,80.5
cagen,Overall,106.0
caopt,Overall,17.0
kali,Overall,20.5
medici,Overall,5.0
pmedici,Overall,19.5
