ToolName,EntryType,Score
acts,Size,63
cagen,Size,69
caopt,Size,97
kali,Size,42
medici,Size,64
pmedici,Size,33
acts,Time,86
cagen,Time,101
caopt,Time,31
kali,Time,67
medici,Time,32
pmedici,Time,60
acts,Overall,74.5
cagen,Overall,85.0
caopt,Overall,64.0
kali,Overall,54.5
medici,Overall,48.0
pmedici,Overall,46.5
