ToolName,EntryType,Score
acts,Size,365
cagen,Size,413
caopt,Size,185
kali,Size,31
medici,Size,202
pmedici,Size,166
acts,Time,418
cagen,Time,596
caopt,Time,127
kali,Time,49
medici,Time,164
pmedici,Time,201
acts,Overall,391.5
cagen,Overall,504.5
caopt,Overall,156.0
kali,Overall,40.0
medici,Overall,183.0
pmedici,Overall,183.5
